COMPOUND,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,Fsp3,XLogP,MW,nRotB,MLogP,nAtomLAC,nAtomP,nAtomLC,nB,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings6,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,VABC,TopoPSA,topoShape,PetitjeanNumber,MDEC.12,MDEC.13,MDEC.22,MDEC.23,MDEC.33,MDEO.11,khs.sCH3,khs.ssCH2,khs.aaCH,khs.sssCH,khs.dssC,khs.aasC,khs.sOH,khs.dO,khs.ssO,Kier1,Kier2,Kier3,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.5,VC.3,VC.5,SCH.6,SCH.7,VCH.6,VCH.7,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,nHBDon,nHBAcc,bpol,apol,label
GPS001193,11.6943089838199,16.001725712666,-0.376672747135989,0.41638329465368,3.83416356792985,9.03492843677526,0.28571429,2.921,302.33227,5,2.12,0,18,3,23,40,12,12,2.8506,8.12592036,87.8703,2,2,2,2,2,0.287838,108,1150,31,43.913161,1.996053,23.740019,5.589614,18.150404,5.523562,269.293129805856,86.97,1,0.5,2.5220563,4.50320013,4.8835934,7.9368041,2.96856983,0,4,0,4,0,0,5,1,0,1,18.340265,8.740895,5.5514974,0.28571429,1219.08,0.5909091,429,16.11252,10.490402,9.492454,7.0931991,5.4504751,4.6796408,2.98851247,2.21159072,12.925495,6.5541983,4.9225059,2.6873312,1.57518987,1.05291465,0.536870011,0.27731575,3.1874682,3.8373947,5.5958263,0.99629777,0.85845011,0.9399141,1.6123724,0.33333333,0.74174757,0.089442719,0.15137472,0.24453107,0.03895812,0.041942092,1,5,1,0,0,1224.91926,1381.75954,1832.691162,1807.64072,1594.19495,25.70882,26.378011,35.789243,35.817917,32.733693,0.513617432743941,-0.530373103057873,0.621537090802741,-0.613698085247977,0.51624854849763,1,5,29.513726,44.846274,0
GPS001212,11.6868278297985,31.9749062160195,-0.393229615548824,0.384936926534047,6.31008565018313,13.7676734851489,0.3125,2.807,303.44505,2,2.78,0,13,3,22,37,11,11,3.702,13.704804,90.3125,3,2,1,2,1,0.24366893,108,736,36,40.877384,2.043869,11.837416,2.603298,3.011512,5.459432,267.409119431395,73.85,0.8,0.4444444,3.0067732,5.09065349,5.2936242,13.5603323,10.52609036,0,3,2,4,0,1,6,0,1,0,14.917355,6.011719,2.8450413,0.3125,1141.04,0.7,300,14.275656,9.575387,8.988678,7.3267715,6.7374282,5.2413196,3.81499946,2.7922027,13.528566,8.4023789,7.5931725,5.8432506,5.25824348,3.93620666,2.788156697,1.84122288,3.4264638,6.3316859,8.9744732,2.65640032,4.74228845,6.419252,1.5530106,0.40272855,1.27977534,0.304354286,0.31837279,0.50985265,0.2904742,0.485169209,0,8,3,3,0,2033.86178,2450.10175,3578.197454,3905.03659,3263.29916,33.389955,29.509779,44.518862,55.754469,54.907574,0.254743931807066,-0.127265368694274,-0.0108520322338574,0.0113206222382489,0.0376528367936947,0,2,26.082519,47.197481,0
GPS001364,11.6706589079508,34.9693808989958,-0.439023332366662,0.395022849140573,5.43278246839082,13.9848592547528,0.27272727,2.792,410.85103,3,3.11,4,6,4,33,48,12,12,2.4706,6.10386436,106.1361,6,2,1,2,5,0.18210045,170,1806,64,60.228799,2.076855,19.116357,10.160654,6.563603,6.044394,348.850276246079,74.68,0.6666667,0.4,1.3819358,1.81480493,11.0738325,27.0145508,17.61434823,1.36540818,1,1,8,3,3,4,1,3,0,20.87787,7.548817,2.7475686,0.27272727,1892.07,0.6551724,520,20.499271,13.901625,13.298079,11.9501405,11.5193313,10.7470668,8.72733601,7.07016987,16.388375,9.8780336,8.4429449,6.7561688,5.66088277,4.66901343,3.366854855,2.398932198,6.869889,13.8896436,25.0281143,3.36886363,5.83107264,9.082542,2.4291216,1.1535018,1.41033888,0.434069017,0.50566474,1.09262416,0.21864209,0.47155225,2,10,4,2,0,2618.22917,3371.56618,5521.504521,6465.66465,6229.36603,40.530787,37.387606,60.110393,72.096696,83.600053,0.398984139027068,-0.139049148571686,0.178382288676581,-0.324242639066299,0.0353786604011365,2,3,24.724933,58.977067,0
GPS001376,11.6947034113243,16.0059577838443,-0.384163075352982,0.376235469888643,5.17761220515871,9.31913820048979,0.42857143,2.988,243.30481,3,2.56,0,12,3,20,35,6,6,2.328,5.419584,68.8453,3,1,2,1,2,0.21999928,94,644,24,37.180486,2.065583,11.927907,2.565553,9.362354,5.321928,231.329081181595,53.49,1,0.5,0,0,9.0612541,12.2462653,3.99735645,0,0,4,5,2,2,1,0,1,0,13.005,5.969822,3.1346939,0.42857143,1063.04,0.9444444,314,12.372033,8.8265,7.753123,6.4983482,5.4714752,4.191616,2.51371846,1.85806852,10.225341,6.5351185,4.9004911,3.6144278,2.65047534,1.85067837,0.854654217,0.527492151,2.2427464,3.5169421,4.3415643,0.88163137,1.21964553,1.310398,0.9398264,0.20118446,0.41352645,0.054278145,0.38951955,0.45662302,0.18674688,0.186542937,1,5,1,0,6,1122.78402,1298.95094,1751.056235,1502.84289,1158.50081,19.85441,21.329184,29.796404,26.658095,22.100563,0.304020853574633,-0.208487105072376,0.134038170109641,-0.173422890288443,0.14515596459706,2,4,22.182519,40.077481,0
GPS001427,11.6922442982021,31.975330439094,-0.406244595459118,0.371632941037862,4.76486758019092,11.5058227425604,0.11111111,1.081,397.47685,6,2.45,2,15,3,30,42,11,11,2.6005,6.76260025,110.2924,4,4,3,3,2,0.3283831,144,2113,40,55.620733,2.060027,27.257816,5.341929,16.254769,5.906891,331.876062712357,130.39,1,0.5,1.3343557,0.99160588,8.6928304,15.626931,4.66329184,0,1,1,9,0,1,4,0,1,1,20.28,9.212018,4.7755102,0.11111111,1323.09,0.8518519,730,18.802754,13.135362,11.79002,10.0507046,8.5276928,6.6090207,4.42343812,3.23764048,15.9581,9.3666865,6.8932609,4.9989491,3.61214383,2.29334936,1.287959184,0.817791115,3.9434752,6.3941976,8.2797066,1.51433424,2.14108122,2.279259,1.7047912,0.30315532,0.73367908,0.095565942,0.56327547,0.8016865,0.20069732,0.232134844,4,9,1,1,0,2160.02435,2541.2821,3559.931947,3241.92866,2832.60109,42.604346,38.027431,56.581286,52.696497,52.201836,0.575828616749553,-0.344471539932941,0.0511443130221059,-0.0286657289952491,0.024298406884978,1,6,28.632105,54.585895,0
GPS001454,11.6856573457782,16.008319217692,-0.387479009123928,0.424369382263645,5.54103823728954,13.9304053950065,0.27777778,1.035,321.33068,0,2.78,0,12,0,28,39,11,11,0.9206,0.84750436,88.0967,5,2,1,2,2,0.27850153,146,1037,52,50.346576,2.097774,17.256276,8.277001,8.979274,5.807355,274.571179582184,89.43,1,0.5,1.4065862,2.46523827,6.3194158,18.0862999,14.7070849,0.2,1,3,4,0,4,5,0,2,0,16.193878,5.497284,1.9072997,0.27777778,1297.06,0.8333333,341,16.637464,11.563421,11.147346,10.6027656,10.158851,9.1454782,7.00807347,5.42901907,13.127244,7.9812696,6.4880111,5.364754,4.4479932,3.41104068,2.195618968,1.463781764,5.9989233,12.3653203,21.7926184,2.4700355,4.37466433,6.431251,2.0085699,0.93249213,0.9251476,0.324292809,0.81917257,1.68754002,0.3030897,0.523538331,1,8,3,0,3,2069.80751,2685.86195,4448.562618,4825.27464,4504.99624,27.403348,30.32546,49.511735,57.314831,62.445919,0.541363505103881,-0.290923093348048,0.117732523353792,-0.100596808271084,-0.049678370430704,1,5,22.870105,47.387895,0
GPS001462,11.716870125069,19.0055994304351,-0.378752448389824,0.523200609703943,3.58748983121796,9.84201549705146,0.5625,3.118,357.32824,8,2.23,2,10,6,27,43,10,9,3.1598,9.98433604,81.792,3,2,2,1,1,0.19169489,134,1578,39,49.804181,1.992167,25.43727,8.762593,9.50941,5.754888,290.80418038537,68.46,1,0.5,2.4295181,1.93527656,2.953485,10.9873497,7.60610748,0,2,4,1,1,1,3,0,1,1,19.753086,7.935,4.6464,0.5625,1425.09,0.48,508,18.18987,11.829048,11.428212,8.5883008,6.7776219,5.0654542,3.93574676,3.047752,13.890514,8.1228969,5.8569921,3.8315109,2.53433049,1.37759605,0.844052923,0.490765935,4.8345376,6.5997091,8.5083726,1.40023819,1.69483304,1.611898,2.7223549,0.74250215,0.74152711,0.130445802,0.43883219,0.78980311,0.15709739,0.232897689,2,3,1,6,2,1269.75236,1504.93955,1998.695978,2042.4799,1838.08424,32.90948,31.569089,48.565535,48.122767,45.362184,0.920555815922373,-0.649964417587909,0.163084626553278,0.171515303441002,-0.296266809688305,0,4,32.696726,47.539274,0
GPS001541,11.6886798961326,31.9743262051024,-0.422392211117657,0.4219642123837,5.40910999847971,13.4646788505106,0.59090909,1.658,442.53317,1,2.89,0,16,0,36,57,10,9,1.2306,1.51437636,119.0166,6,2,2,1,4,0.25384047,188,2260,62,64.978749,2.096089,27.775356,11.208707,13.338492,6.169925,374.967587752779,112.24,0.8333333,0.4545455,4.0791881,5.74319757,6.0391039,17.1098925,14.78175768,0.16666667,3,8,0,0,2,5,0,2,2,21.527778,7.5,3.3333333,0.59090909,2914.09,0.8387097,606,21.543241,14.773405,15.223887,12.9477764,12.0736992,10.6982631,8.53602784,6.74948033,18.856233,11.695006,10.6332254,7.9811406,6.42762996,5.09930674,3.583436338,2.566240748,7.2651615,13.5292332,21.5595334,3.92345314,6.21475684,8.798136,3.6772088,0.74300366,2.29059159,0.327071912,0.71097534,1.38534892,0.37874696,0.602810121,4,2,3,8,4,2944.89541,3756.91458,6056.524904,6496.28748,6392.85554,41.66555,42.993942,71.766796,77.493715,79.01707,0.8653793986689,-0.491164550243984,0.0567577605045138,-0.0807003441356187,0.209557018833556,1,8,42.391382,66.564618,0
GPS001688,11.6715049311944,16.0097988798137,-0.429494493778238,0.415471049018184,4.13646845576598,10.37943165814,0,5.43,325.36081,4,3.55,3,25,4,27,40,18,18,4.7781,22.83023961,98.3859,3,3,3,3,3,0.18790547,126,1726,37,50.942829,2.037713,7.327474,4.835519,2.491955,5.754888,313.601994866356,61.09,0.875,0.4666667,0,0,23.6297869,26.4274632,5.07257967,0.5,0,0,13,0,2,5,1,1,0,19.753086,9.796296,5.489603,0,1164.03,0.8,614,17.648054,12.169035,10.501803,8.7943406,6.9045636,5.5155308,3.53290682,2.6543718,13.385579,7.782106,5.5403528,3.8921166,2.54158547,1.71373697,0.891240805,0.534495136,3.3597739,4.5897416,5.5707035,1.1020388,1.27959143,1.318384,1.3707908,0.33333333,0.54737071,0.067048554,0.26872874,0.2621887,0.08763057,0.073741682,1,14,6,0,0,1637.47218,1884.23531,2509.59117,2505.41305,2091.13438,26.908918,27.830366,37.604835,38.660732,33.826914,0.292100344860409,-0.133543259235999,-0.00193522866600016,-0.0074823351998926,0.00907416507796587,1,3,18.016105,51.425895,0
GPS001727,11.6887427317089,34.9693804625925,-0.39568280721325,0.382607640025053,5.29782812180682,9.91496832620572,0.06666667,3.74,285.72878,3,2.56,0,18,3,22,32,12,12,2.55,6.5025,77.9904,3,2,2,2,2,0.19711163,106,846,30,40.896596,2.04483,14.200097,2.565551,9.117133,5.459432,245.026757475495,56.19,0.8333333,0.4545455,0,0,8.8884568,15.7749964,4.59102044,0,0,1,8,0,2,4,0,1,0,14.917355,6.405827,3.2766211,0.06666667,776.05,0.85,375,14.11252,9.647867,8.796228,7.5320723,6.0100498,4.8144827,3.13407772,1.97146795,11.315264,6.5367831,4.9761553,3.4657508,2.29380638,1.53206834,0.794960686,0.397728146,3.3040633,4.8702132,6.4889623,1.17494588,1.41453012,1.514438,1.3529102,0.36068498,0.6325361,0.082374794,0.41190075,0.63364418,0.14072757,0.183852925,2,9,3,1,0,1349.7559,1579.64717,2193.605954,1997.26907,1508.36568,29.56736,25.308571,37.312349,37.142986,28.10814,0.259838310499838,-0.132977100148559,-0.0227729166250096,0.10771116174161,-0.086759594046892,2,4,15.816484,40.683516,0
