COMPOUND,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,Fsp3,XLogP,MW,nRotB,MLogP,nAtomLAC,nAtomP,nAtomLC,nB,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings6,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,VABC,TopoPSA,topoShape,PetitjeanNumber,MDEC.12,MDEC.13,MDEC.22,MDEC.23,MDEC.33,MDEO.11,khs.sCH3,khs.ssCH2,khs.aaCH,khs.sssCH,khs.dssC,khs.aasC,khs.sOH,khs.dO,khs.ssO,Kier1,Kier2,Kier3,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.5,VC.3,VC.5,SCH.6,SCH.7,VCH.6,VCH.7,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,nHBDon,nHBAcc,bpol,apol,label
"(-)-3,5-Dicaffeoyl quinic acid",11.85,16.0059901934521,-0.387426058858312,0.291871721757463,4.44777643004128,9.6917567922154,0.24,1.587,516.45183,9,2.89,3,13,4,39,61,12,12,1.5605,2.43516025,125.7672,3,2,3,2,3,0.40935679,190,4988,59,73.723274,1.992521,31.175348,31.175348,0,6.285402,458.568372943001,211.28,1,0.5,0,0,11.0787468,26.952306,11.2534255,5.26563688,0,2,6,3,3,6,7,3,2,31.526627,14.0625,9,0.24,2637.12,0.7027027,1147,27.327698,17.373737,16.699995,13.2972145,9.257587,7.9395868,5.24527417,3.18291666,19.091504,10.8295699,8.3492248,5.5954026,3.62101434,2.50620656,1.303379493,0.633777766,7.6919792,9.0183677,13.5242298,2.10668079,2.45925581,2.899216,3.545452,1.0783693,1.26595124,0.13471302,0.18419529,0.5604348,0.09622504,0.17718405,3,14,2,0,5,2107.20908,2437.80032,3343.76731,3391.89772,2913.44744,46.293628,43.649288,65.961523,72.281206,60.957799,1.18064294095686,-0.466867104185431,-0.152894746802654,0.164293718881478,-0.151225439315184,7,8,32.942968,69.627032,0
(S)-(+)-Camptothecin,11.9884159142888,16.0062879953878,-0.374519737041653,0.31242378434177,4.92171013816542,11.5071389080219,0.25,1.518,348.3528,1,3,2,17,2,30,42,11,10,1.7461,3.04886521,94.4921,5,3,1,2,4,0.22903614,154,1479,54,54.477169,2.095276,17.514575,10.726532,6.788043,5.906891,304.320156625512,79.73,0.8333333,0.4545455,1.4841611,1.73485041,8.6572288,22.652386,11.9870758,0.66943295,1,3,6,0,1,5,1,2,1,18.055556,6.518787,2.62805,0.25,1466.06,0.8076923,497,18.051677,12.525024,11.966303,11.5884772,9.7247692,8.3862805,6.590477,5.31502755,14.151808,8.5851271,6.7918661,5.4167908,3.92515315,2.81253688,1.81833193,1.249698582,6.7047803,10.9875576,16.6848725,2.36504131,3.37381083,4.211657,2.2515225,1.0127425,0.99972477,0.24108348,0.44438992,1.0000533,0.16118029,0.27461145,2,9,4,3,1,2080.74437,2608.30441,4074.22731,4371.49983,3685.23469,29.817837,32.49137,51.98203,61.55557,52.310126,0.641438160352786,-0.336580578696458,0.0481678401517113,0.00995309140208802,-0.0199692896500202,1,6,24.623312,51.276688,1
(S)-crizotinib,11.9,34.9698552199134,-0.334591131412101,0.148578868745911,4.83289437541681,11.2363663137127,0.33333333,4.827,450.33735,5,2.78,2,13,3,33,52,17,17,3.694,13.645636,118.1117,4,3,4,3,3,0.17365126,160,2633,49,61.287732,2.042924,25.863361,3.070854,15.213427,6.044394,368.818353566969,77.99,0.875,0.4666667,1.4275053,2.90544226,8.92567,20.207983,12.3142515,0,1,4,6,2,0,8,0,0,1,23.168044,10.29244,5.333333,0.33333333,2155.09,0.8333333,762,21.250348,14.435561,13.223169,11.4706534,9.3154046,7.1493064,4.65899125,3.29057205,17.92022,10.5014676,8.0996755,6.0028434,4.30816311,2.56572544,1.341993137,0.760930231,5.2886132,8.1769053,11.2799986,2.25098671,3.21442596,3.407035,2.0797036,0.6418854,1.03588255,0.2248793,0.36174177,0.6448387,0.14754769,0.18318937,4,7,3,3,4,2151.37414,2533.64022,3549.7585,3568.18108,3175.29621,49.502314,39.838946,59.653184,69.474461,71.064012,0.522408413988862,-0.183442776901769,-0.115247764021305,0.0321426907063637,-0.104001778692693,2,4,31.309554,62.848446,0
"1,4-Naphthoquinone",11.85,15.9959196753515,-0.289787074156323,0.187539063633041,4.93834375,9.26839068902301,0,1.44,158.15381,0,2.34,0,12,0,13,18,6,6,1.7578,3.08986084,46.3334,2,2,1,1,2,0.21602566,62,176,18,24.350096,2.029175,5.103315,5.103315,0,4.70044,147.665088754189,34.14,0.6666667,0.4,0,0,6.1204639,11.106315,3.9654065,0.2,0,0,4,0,2,2,0,2,0,8.591716,3.395062,1.5625,0,229.02,0.8333333,108,8.552042,5.787694,5.144084,4.4140121,3.5551761,2.9331794,1.53501674,0.88940808,6.280598,3.6462822,2.6074187,1.8440656,1.24377782,0.81187685,0.347136303,0.168176833,1.9454828,3.0548894,4.438166,0.57610268,0.75073436,0.8252167,0.74357,0.2480056,0.2621887,0.05485402,0.13888889,0.2859036,0.04861111,0.06884438,0,8,2,0,0,678.54192,790.12413,1077.72023,986.4874,557.53081,13.548938,13.664184,19.328368,19.992552,13.992552,0.249790694529192,-0.0737487201875142,-0.0107057677205365,-0.00888470003653089,-0.114189579544059,0,2,8.475242,23.204758,0
10-Hydroxycamptothecin,11.9884158862479,16.0064545221323,-0.374576647671097,0.31243144167523,4.92192921873105,11.5089772902583,0.25,1.112,364.3522,1,2.89,2,18,2,31,43,11,10,1.4787,2.18655369,96.1862,5,3,1,2,4,0.2745355,160,1665,56,56.327966,2.086221,20.065516,13.276268,6.789248,5.954196,313.110383326073,99.96,1,0.5,1.4212073,1.78804441,6.36986,23.4803,13.3815162,0.87091297,1,3,5,0,1,6,2,2,1,18.992716,6.768013,2.810283,0.25,1507.07,0.7777778,554,18.921921,12.918871,12.60007,11.9240224,9.9801092,8.6583912,6.88267595,5.44172963,14.521671,8.7194175,6.976169,5.4911503,3.9730928,2.84609836,1.858946649,1.259066682,7.053945,11.4446155,17.4764249,2.4388964,3.45631437,4.319062,2.5401976,1.0127425,1.07426037,0.24108348,0.42909797,1.0464686,0.15745877,0.2815568,2,9,4,3,1,2128.6014,2671.78035,4186.62295,4496.23737,3811.68573,31.592306,33.823462,54.646214,64.219753,54.97431,0.696813368913217,-0.352416471362472,0.046842216108092,0.00134376708796149,-0.0578645897670513,2,6,24.623312,52.078688,1
"2,2,6,6-Tetramethylpiperidinooxy",11.999,16.000973489715,-0.374520547356495,0.0425989380980915,5.75283738689196,9.76626038430058,1,1.793,156.24566,0,2.23,0,1,0,11,29,0,0,2.3,5.29,44.5442,1,0,1,0,1,0.14935093,58,134,17,20.929372,1.90267,5.596442,2.47109,3.125352,4.459432,171.650848541528,3.24,0.3333333,0.25,4.1601676,0,2.3811016,0,0,0,4,3,0,0,0,0,0,0,0,9.090909,2.5,1.6,1,731.02,0.5454545,77,8.698671,4.861807,5.552404,3.9866518,2.4903993,1.1525389,0.86386375,0.20412415,8.015748,4.3543204,4.7902253,2.723909,1.98475547,0.88504169,0.705136496,0.070710678,3.949595,5.6176257,6.8223136,2.24060155,3.49434116,3.883521,2.2452912,0.6969234,1.83677591,0.24142136,0.05103104,0.2551552,0.03952847,0.17579155,0,0,0,4,3,688.90397,786.04061,1143.55175,962.54963,453.73987,12.134449,11.885825,19.661276,19.158734,9.332092,0.045968266447865,0.00440237648578156,-0.0244726411639028,-0.00525890393605843,0.00234503539024718,0,0,21.295726,29.744274,0
"2,4-Dichlorophenoxyacetic acid",11.9962918720587,34.9698536942443,-0.348859367873895,0.304608450298828,3.6815492762192,9.44472727349259,0.125,2.563,221.03762,3,1.79,2,7,4,13,19,6,6,2.8119,7.90678161,48.3656,1,1,1,1,1,0.21152942,60,266,15,25.243848,1.941834,12.817731,7.771488,0,4.70044,169.914857846284,46.53,1,0.5,0,0,2.3348151,7.615919,2.1822473,0.5,0,1,3,0,1,3,1,1,1,11.076923,5.024221,3.703704,0.125,205.05,0.4615385,155,9.844935,6.092224,5.626785,3.7239563,2.7043546,2.0073523,1.30562417,0.44014107,7.970655,4.1460109,3.1007934,1.7755403,1.19480258,0.64647252,0.354987353,0.08263396,1.6491021,2.0155472,2.5482889,0.64961387,0.80759056,0.8029307,1.0992924,0.1178511,0.47612094,0.03857584,0.06804138,0.1841953,0.02405626,0.0643754,1,6,0,1,0,686.09046,755.61733,954.26789,828.98903,529.80564,30.749307,18.231909,27.242011,27.952235,25.564538,0.430065742360993,-0.167006639474714,-0.188526245538101,0.202839000180547,-0.0449024631564501,1,2,10.273242,24.846758,0
2'-DEOXYCYTIDINE-5'-TRIPHOSPHATE TRISODI,11.9944454240786,30.9757661949644,-0.390032621911534,0.470794524577962,2.00957914176445,9.43702581182288,0.55555556,-5.708,467.15733,8,0.36,0,13,8,29,44,0,0,-4.0604,16.48684816,86.6125,2,1,2,1,1,0.59401751,148,2269,39,54.745615,1.955201,52.663638,33.758027,8.949763,5.857981,338.343014785395,277.4,0.875,0.4666667,0,0,1.8731848,7.728467,3.4941356,6.53903777,0,2,2,3,0,1,5,4,4,24.271106,9.013333,7.650521,0.55555556,1269.19,0.3928571,663,21.328063,12.674052,14.309526,8.3460204,7.9866475,4.4081635,3.59301827,1.93102476,14.288265,8.2709696,6.3452939,3.8236337,2.63239815,1.44194677,0.888944902,0.460059893,5.1193558,10.5636436,11.6454171,1.3888516,1.83709155,1.697303,5.2043695,0.2821176,1.06719817,0.06555388,0.28786336,0.4577184,0.10564078,0.11510117,2,1,0,2,3,1002.93183,1177.11787,1648.23263,1510.70493,1333.4044,56.09928,60.88057,76.857735,76.167082,75.74219,1.65523054737285,-1.41129786967321,1.27674240431258,-1.27918559477144,0.980703590489174,6,16,54.067312,51.124688,0
2'-Deoxyuridine,11.9962686908491,15.9999964323606,-0.417717534077241,0.287684092088231,4.27518563806744,9.37791643285205,0.55555556,-1.516,228.20234,2,1.68,0,8,2,17,28,0,0,-1.6841,2.83619281,51.13,2,1,2,1,1,0.43450691,82,434,23,31.959313,1.997457,19.563529,13.143168,6.420361,5.087463,197.542680748739,99.1,0.8,0.4444444,0,0,1.8731848,7.728467,3.4941356,0.99395706,0,2,2,3,0,0,2,2,1,12.456747,5.104167,2.651405,0.55555556,601.07,0.6875,227,11.706742,7.613392,6.936459,5.7125024,4.6951379,3.1489771,2.28848651,1.24491497,8.367351,4.8741707,3.6322199,2.5455183,1.70429765,0.98820766,0.541831824,0.257477003,2.7539578,4.2596083,5.0438154,0.8873308,1.09742322,1.064807,1.2294958,0.2821176,0.45527461,0.06716012,0.28786336,0.4776472,0.10760801,0.11655552,2,1,0,2,3,821.53596,960.99205,1333.40522,1181.45694,913.4383,20.592306,19.823462,29.397016,28.700768,24.976616,0.709344921549891,-0.371671039385647,0.149129439010188,-0.334903059012927,0.338057985412145,3,7,19.590484,30.051516,0
3-O-Acetyl-beta-boswellic acid,11.9961088319062,15.999306874331,-0.350672412610863,0.287486533286826,4.22191200621064,14.3182762526691,0.875,10.749,498.73821,3,4.54,2,3,3,40,86,0,0,6.8466,46.87593156,142.8491,5,0,1,0,5,0.1276158,216,3458,88,73.085189,2.030144,10.193459,10.193459,0,6.321928,527.497203924379,63.6,1,0.5,16.2096916,14.91546378,11.4081239,21.982264,8.2513384,0.72112479,8,9,0,6,3,0,1,2,1,27.5625,8.75,3.595815,0.875,6840.04,0.6111111,832,26.474327,16.649008,17.609206,15.9533351,13.3156688,11.5824433,8.72333031,6.68691446,24.077371,14.7614582,15.0257787,13.7677711,11.19015085,9.39385972,7.035090465,5.093144538,13.2151322,22.8497776,39.4530872,10.97044745,18.7357196,31.12102,5.0337916,2.6111083,4.23952267,1.98423903,0.21477919,0.95473,0.19699303,0.85076327,2,1,1,8,10,3784.19726,4841.64139,8100.03473,9860.35515,9065.88671,39.097876,41.66046,71.54149,91.653012,91.869858,0.466077718954194,-0.237335131955274,0.0611539021035561,-0.136204176782641,0.186254281853115,1,4,58.49235,92.86765,0
3'-Demethylnobiletin,11.9961514214707,16.0025641383528,-0.382761513111558,0.193851485446277,4.82963484051797,10.4296545916676,0.25,2.533,388.36877,6,2.78,0,23,2,30,48,12,12,2.7871,7.76792641,101.0564,3,3,2,2,3,0.2387947,146,1908,54,56.497072,2.017753,22.412337,22.412337,0,5.906891,344.836919113823,92.68,0.8571429,0.4615385,2.9414651,10.88155298,2.4494897,13.152677,18.0591965,0.14285714,5,0,4,0,0,8,1,1,5,22.68,9.871282,4.257999,0.25,1744.08,0.5714286,580,20.421921,13.497462,11.457129,10.5592466,9.4087666,7.6056393,5.39266263,3.9106829,16.114353,8.2132256,5.6986465,4.2795129,3.02780648,2.049384,1.174395966,0.69396976,5.1352521,9.2828546,13.8741106,1.51410543,2.17038761,2.578258,1.7629294,0.5926959,0.64231493,0.11676995,0.16063397,0.4595473,0.05441265,0.1004254,0,13,2,0,0,1795.71371,2162.78301,3188.49165,3709.78837,3464.06401,34.195752,34.649288,48.977656,64.846277,68.949114,1.09774340296406,-0.50193416111302,-0.242919676495999,0.216044965995155,-0.0708413735264859,1,1,34.31814,54.95186,0
360A,11.8,15.9959333723865,-0.313533595072989,0.255022544834535,5.46060327148436,10.6399728385435,0.14814815,1.552,453.5366,6,3.66,0,30,3,38,61,6,6,-1.708,2.917264,136.8165,5,1,3,1,5,0.1764499,184,3899,57,70.388952,2.070263,21.058242,5.151394,15.906847,6.247928,443.792500127557,79.97,1,0.5,4.1752864,3.25020656,16.3821458,28.13269,9.630387,0.16666667,2,2,3,0,8,2,0,2,0,25.641274,11.588477,6.123457,0.14814815,3103.07,0.8823529,1050,23.656125,16.474367,15.158948,12.8549896,11.1279675,8.927322,6.14856449,4.32536621,19.81647,12.6581154,10.0344804,7.466213,5.64865661,3.84337753,2.288814813,1.315975756,5.4190619,8.7967455,12.2403838,2.77330751,4.05464202,4.769535,2.2898895,0.5642351,1.30905911,0.25866012,0.36111111,0.6571146,0.15759934,0.30581414,4,17,2,0,2,2742.01775,3236.50151,4533.84716,4619.85607,3878.73029,37.34884,40.658367,58.430018,62.703214,56.315647,0.572272805187222,-0.302163518508331,-0.130093094647684,0.330501397256396,-0.221886149559111,4,5,36.712589,72.627411,0
5-Fluoroorotic acid,11.9975591663782,19.0001341387697,-0.326917142312205,0.305155431536013,4.14832692178277,8.16913170516569,0,-1.131,174.08693,1,1.24,0,11,3,12,15,0,0,-1.2674,1.60630276,33.4775,1,1,1,1,1,0.54882634,58,184,17,23.076578,1.923048,18.267788,9.827043,5.92703,4.584963,135.356074395018,95.5,0.6666667,0.4,0,0,0,0,5.4506918,1.45096271,0,0,0,0,1,2,1,3,0,10.083333,3.806228,2.25,0,93.07,0.5,100,9.300965,5.519745,5.320848,3.8779078,2.926092,2.0747654,0.77880021,0.41776358,5.549923,2.7749615,1.9023831,1.0983021,0.61852151,0.31606321,0.097651184,0.029644206,2.4104633,3.3929142,4.8904053,0.39673894,0.40860549,0.380015,1.1862436,0.3507329,0.25745118,0.03286624,0.05555556,0.1987417,0.015625,0.02647595,2,2,0,0,0,453.23292,516.67963,689.23259,617.45244,373.18531,17.319881,14.574881,22.453226,23.810006,19.614708,0.649753628688982,-0.288100213582264,0.0874051459293016,-0.031463565521818,-0.384938477620925,3,6,8.676621,16.765379,0
5-Fluorouridine,11.996268668289,18.998406927462,-0.417725678858633,0.287991847311863,4.3041476875042,9.47879507324335,0.55555556,-2.001,262.19221,2,1.46,0,8,2,19,29,0,0,-2.5406,6.45464836,52.7685,2,1,2,1,1,0.45535354,94,573,30,35.660509,1.981139,24.603672,15.668716,6.413585,5.247928,212.400466299607,119.33,0.8,0.4444444,0,0,0.2,5.081569,7.8296926,1.8176652,0,1,1,4,0,1,3,2,1,14.409972,5.55102,2.65928,0.55555556,594.09,0.6111111,255,13.447229,8.451596,7.853229,6.9873235,5.1854827,3.9703345,2.55900956,1.48196676,8.985422,5.0881886,3.8724407,2.715632,1.7595979,1.05879796,0.542542473,0.261196309,4.1216786,5.8255728,8.3949944,1.10837994,1.34603976,1.444702,1.5308392,0.6043508,0.55498035,0.10669952,0.31360687,0.6250368,0.10907051,0.13504172,2,1,0,2,3,894.51533,1067.70339,1535.29428,1472.79054,1137.11715,24.868819,22.737339,35.224771,40.931641,32.136462,0.917331227597675,-0.363538845995684,-0.106509293307487,-0.0140887090827245,0.00828704299597698,4,8,19.700277,30.743723,0
5-methoxyflavone,11.85,15.9969267330331,-0.34789936265577,0.19351922135764,5.02729081311716,9.75067427419896,0.0625,3.547,252.26528,2,2.89,0,18,2,21,31,12,12,3.1201,9.73502401,73.5095,3,3,2,2,3,0.14094808,100,678,31,39.169029,2.061528,8.572803,8.572803,0,5.392317,231.701847107551,35.53,1,0.5,1.4294045,1.50394226,10.2640842,16.678834,7.1359371,0,1,0,9,0,0,3,0,1,1,13.959184,6.185493,2.88,0.0625,747.03,0.8421053,311,13.242276,9.292025,8.04352,7.016465,6.2027777,5.0612096,3.18301307,2.37856978,10.420897,5.9567957,4.1743357,2.9947204,2.09284127,1.40865896,0.699780378,0.430707459,2.6952475,4.8977046,7.0517585,0.85279414,1.18885681,1.352493,1.01348,0.2730119,0.38153559,0.06383603,0.22565901,0.3534236,0.07086267,0.07695812,0,13,2,0,0,1215.42293,1433.62139,2006.50459,2059.8066,1697.14473,21.323407,22.66046,31.656736,34.653012,32.980143,0.402475763232435,-0.150919581378381,-0.02680792348474,-0.216877418964669,0.29901372563676,0,1,17.908484,38.567516,0
5-Methylcytosine,11.9935979458479,15.9949174129833,-0.314826311805305,0.324730840176425,4.22527818742434,8.30025897355542,0.2,-0.77,125.12878,0,1.57,0,8,0,9,16,0,0,-0.5106,0.26071236,32.3835,1,1,1,1,1,0.5395857,42,84,10,17.382017,1.931335,10.849284,2.496356,8.352928,4.169925,116.551054351995,67.48,0.6666667,0.4,0.5,1.5,0,1.889882,1.6509636,0,1,0,1,0,0,2,0,1,0,7.111111,2.722222,1.704142,0.2,184.04,0.6666667,67,6.853371,4.198377,3.872792,2.8603662,1.816763,1.3316002,0.50447334,0.06804138,5.010162,2.5173631,1.7738842,1.0381711,0.47378357,0.27670963,0.072590091,0.00931695,1.4782781,1.5580286,2.0759331,0.40331831,0.29209639,0.2898817,0.7600797,0.1666667,0.25453084,0.0372678,0.06804138,0.2041241,0.01613743,0.03204246,2,0,1,1,0,414.15614,448.19127,561.9122,426.91192,139.62106,10.85441,10.163002,14.32543,11.827457,5.245534,0.261996737534515,-0.228229281089776,0.194760695866364,-0.124003791196648,0.0352686963868698,2,4,9.930449,17.569551,0
6-AZATHYMINE,11.9887870494783,16.0060256850457,-0.352719163107033,0.34416137766273,3.96421328677794,7.3872567987317,0.5,-0.806,127.10157,0,1.35,0,7,0,9,14,0,0,0.0456,0.00207936,22.3145,1,0,1,0,1,0.55802123,42,84,10,17.382017,1.931335,13.785333,4.98602,8.799314,4.169925,108.045296426689,70.89,0.6666667,0.4,0,1.5,0,0,1.6509636,0.25,1,0,0,1,2,0,0,2,0,7.111111,2.722222,1.704142,0.5,124.05,0.6666667,67,6.853371,4.198377,3.872792,2.8603662,1.816763,1.3316002,0.50447334,0.06804138,4.788274,2.4560794,1.6858469,0.9313405,0.42631441,0.24773051,0.057248992,0.005892557,1.4782781,1.5580286,2.0759331,0.33296423,0.23769288,0.2316736,0.7600797,0.1666667,0.23366856,0.02635231,0.06804138,0.2041241,0.01443376,0.02621887,1,0,0,1,1,313.06406,340.33287,425.11347,317.65089,103.89796,11.628879,10.688892,15.183367,12.961725,5.660023,0.419111145109895,-0.199744534736109,-0.0234728034382624,-0.0364916417247307,0.0597440792098761,1,5,9.362035,15.277965,0
6-Mercaptopurine monohydrate,11.9800846734798,31.9720714742758,-0.316916588327876,0.229565156068883,6.70742715856815,10.3176304002462,0,-1.909,150.16246,0,1.46,0,10,0,11,12,0,0,0.6363,0.40487769,40.8361,2,0,1,0,1,0.54353327,52,105,12,20.41041,2.041041,14.696329,0,12.151004,4.459432,119.6372358148,81.53,0.3333333,0.25,0,0,0.25,2.620741,2.3811016,0,0,0,0,0,3,0,0,0,0,6.694215,2.56,1.12,0,79.05,0.9,79,6.974691,4.87701,4.263025,3.683154,3.089159,1.979357,1.16612121,0.62800349,5.6683,3.0395952,2.1114024,1.4350015,0.89377363,0.43471243,0.191428232,0.070134393,1.4401775,2.3436253,2.6046562,0.48959539,0.58287729,0.4961525,0.5384517,0.1642664,0.24283234,0.04179896,0.2194161,0.3874584,0.04177746,0.06862879,2,1,0,0,0,639.67385,734.9928,985.92924,729.91591,361.03837,17.567674,13.999241,20.694091,19.003896,13.58904,0.332182529375791,-0.262685888391432,0.128420972081493,-0.0345778110459885,0.00275146266803284,0,4,8.606414,17.433586,1
6-Thio-dG,11.9944225457567,31.972071968163,-0.393292083989611,0.173169509634483,4.30728536785734,10.9373746245427,0.5,-0.437,283.3084,2,1.57,0,11,2,21,32,5,5,-0.7139,0.50965321,68.4672,3,2,2,1,1,0.52993227,104,671,30,38.731111,2.03848,25.923286,8.095915,15.270104,5.392317,222.864599253984,150.01,0.8,0.4444444,0,0,0.8434327,7.084578,7.2661549,0.25,0,2,1,3,0,1,2,0,1,13.959184,5.413111,2.492158,0.5,814.09,0.7368421,292,13.56855,9.096555,8.49987,7.3274576,6.4482626,4.5902175,3.52473706,2.28035731,10.670026,6.1739808,4.7982781,3.440416,2.45259401,1.42925151,0.885363038,0.469553309,3.5904627,6.0287842,7.7856426,1.3364203,1.79294041,1.886639,1.5016613,0.3932287,0.67425003,0.11402527,0.45453003,0.8080834,0.1469599,0.2004484,2,1,0,2,3,1322.69719,1588.67938,2319.95756,2124.35146,1809.99811,29.251062,25.659972,40.126247,41.210386,40.158333,0.632500660038924,-0.358433216525571,0.0774201506817178,-0.152085673553028,0.239258287966366,4,7,21.887691,37.074309,0
9-Aminocamptothecin,11.9884158585155,16.0062889352038,-0.374526744933517,0.368552641655969,4.90852693451729,11.5156562486998,0.25,0.701,363.36744,1,2.89,2,18,2,31,44,11,10,0.9995,0.99900025,99.1925,5,3,1,2,4,0.29122451,160,1645,57,56.325911,2.086145,20.085927,10.726489,9.359438,5.954196,315.316916833679,105.75,0.8333333,0.4545455,1.4043758,1.80516777,6.3909859,22.783207,14.0889794,0.66943295,1,3,5,0,1,6,1,2,1,18.992716,6.768013,2.734843,0.25,1602.07,0.7777778,518,18.921921,12.935707,12.493809,12.0621782,10.0926106,8.5981043,6.86222172,5.5040474,14.651808,8.7904689,7.0130911,5.5857068,4.02541063,2.87082585,1.869988893,1.281348698,7.2061172,11.7860555,17.8262811,2.51613982,3.55789296,4.438232,2.4566409,1.0936756,1.07189355,0.26225706,0.42909797,1.0392599,0.15745877,0.28343917,2,9,4,3,1,2184.64105,2740.66798,4294.91691,4648.76559,3948.75221,31.177817,33.657551,54.314394,65.054115,56.00247,0.657699950733213,-0.339593324394705,0.0480459773096025,-0.0102350202210555,0.0107687937198303,2,7,25.056519,53.043481,1
9-Methoxycamptothecin,11.9884056188918,16.0064550917914,-0.37455133625072,0.312440286891722,4.92277710204048,11.5157287379705,0.28571429,1.433,378.37882,2,3,2,18,2,32,46,11,10,1.7297,2.99186209,100.9553,5,3,1,2,4,0.23526825,164,1838,59,58.358387,2.084228,20.343856,13.545057,6.798798,6,330.40636795194,88.96,1,0.5,2.7854081,3.5605646,6.3909859,22.783207,14.0889794,0.66943295,2,3,5,0,1,6,1,2,2,19.933594,7.3008,2.9259,0.28571429,1744.07,0.75,575,19.629028,13.473712,12.684853,12.3766017,10.4201245,8.8942082,7.05608203,5.72470369,15.482706,9.1141662,7.1261242,5.7318908,4.15327591,2.95721713,1.927476693,1.32648198,7.1954373,11.9248747,18.0108591,2.52247395,3.61792923,4.495284,2.3876053,1.0654919,1.04748578,0.25521115,0.42909797,1.0193311,0.15745877,0.27937121,2,9,4,3,1,2216.41567,2778.95248,4348.98898,4751.09737,4096.8727,32.592306,35.155554,55.646214,67.551845,59.527772,0.793104174762444,-0.419406054076986,0.0502135306002617,-0.0217455707460459,0.0765360883378021,1,6,28.725726,55.172274,1
Abemaciclib,11.89,18.9994142045709,-0.300932896077454,0.207315216415771,4.73607289733721,10.5670727682318,0.40740741,4.031,506.59441,7,3.33,3,22,3,41,69,22,21,4.9984,24.98400256,141.7373,5,4,4,3,4,0.14814177,200,5046,62,76.096868,2.056672,30.961206,0,25.802658,6.357552,443.910362453148,75,1,0.5,4.9157309,6.95239806,13.1392065,20.150613,13.8090701,0,4,6,6,1,0,8,0,0,0,28.525877,12.668773,6.668162,0.40740741,3997.1,0.7837838,1268,26.103719,17.816902,16.544203,13.9109917,11.8940567,9.721688,6.82623903,5.09175702,21.670517,12.6968772,9.7258198,6.841926,4.91555386,3.2218501,1.904238921,1.155458289,6.1544469,10.1189535,14.0059807,2.51629192,3.46947656,3.707117,2.7470869,0.5510865,1.34017263,0.16951629,0.51510842,0.9869785,0.17315118,0.26565794,4,9,2,10,1,2538.09438,3001.96152,4268.78615,4349.37646,3904.61942,42.883931,45.321027,66.450681,69.962922,66.074212,0.741892437214184,-0.443358015727153,0.00535517796503168,0.0594481300403338,0.1122771730669,1,7,49.268624,78.771376,0
Acelarin,11.85,30.9737638902037,-0.383797405562523,0.393674992205856,4.32013965384291,9.44299801335287,0.32,1.971,580.47542,12,2.56,3,11,8,43,67,12,12,1.797,3.229209,135.2718,4,3,4,3,3,0.29616302,210,5744,64,80.613097,2.015327,43.029004,22.460828,11.957717,6.426265,489.636878082036,171.82,0.9,0.4736842,2.0634084,1.7936742,14.2133839,18.931336,6.6621365,0.80228398,1,2,12,4,1,3,1,3,4,32.904273,14.650364,8.781723,0.32,3340.15,0.8,1223,28.915638,18.981819,18.069253,14.5737856,11.3070829,8.8188296,5.57447524,3.84845197,21.355632,12.4054425,9.2542968,6.2019429,4.11176751,2.60152584,1.380820511,0.820293079,7.9080206,11.7610177,16.7995279,2.07907995,2.63586778,2.86123,3.8287577,1.0073882,1.21362607,0.14810499,0.5636859,0.8982736,0.17342659,0.17796409,3,12,1,4,4,2065.54887,2394.04696,3298.95137,3280.48437,2982.73211,56.290176,57.628822,82.354413,90.632922,86.073311,1.49433865030243,-0.963729637234862,0.387036112908721,-0.00236347497802445,-0.691574830787397,3,11,53.240589,77.563411,0
